,A2,A3,A4,A5
338,23.44,2.83,3.46,23.64
339,23.44,2.83,3.46,23.64
340,23.42,2.83,3.48,23.66
341,23.42,2.83,3.48,23.66
342,23.42,2.83,3.48,23.66
343,23.42,2.83,3.48,23.66
344,23.42,2.83,3.48,23.66
345,23.42,2.83,3.48,23.66
346,23.42,2.83,3.48,23.66
347,23.42,2.83,3.48,23.67
348,23.42,2.83,3.48,23.67
349,23.42,2.83,3.48,23.67
350,23.42,2.83,3.48,23.67
351,23.45,2.84,3.5,23.69
352,23.45,2.84,3.5,23.69
353,23.45,2.84,3.5,23.69
354,23.45,2.84,3.5,23.69
355,23.45,2.84,3.5,23.69
356,23.45,2.84,3.5,23.69
357,23.45,2.84,3.5,23.69
358,23.45,2.84,3.49,23.69
359,23.45,2.84,3.49,23.69
360,23.45,2.84,3.49,23.69
361,23.45,2.84,3.49,23.69
362,23.45,2.84,3.49,23.69
363,23.45,2.84,3.49,23.69
364,23.45,2.84,3.49,23.69
365,23.45,2.85,3.48,23.65
366,23.45,2.85,3.48,23.65
367,23.45,2.85,3.48,23.65
368,23.45,2.85,3.48,23.65
369,23.45,2.85,3.48,23.65
370,23.45,2.85,3.48,23.65
371,23.45,2.84,3.48,23.68
372,23.45,2.84,3.48,23.68
373,23.45,2.84,3.48,23.68
374,23.45,2.84,3.48,23.68
375,23.45,2.84,3.48,23.68
376,23.45,2.84,3.48,23.68
377,23.44,2.82,3.48,23.69
378,23.44,2.82,3.48,23.69
379,23.44,2.82,3.48,23.69
380,23.44,2.82,3.48,23.69
381,23.44,2.82,3.48,23.69
382,23.45,2.85,3.48,23.67
383,23.45,2.85,3.48,23.67
384,23.45,2.85,3.48,23.67
385,23.45,2.85,3.48,23.67
386,23.45,2.85,3.48,23.67
387,23.45,2.85,3.48,23.67
388,23.45,2.85,3.48,23.67
389,23.45,2.85,3.48,23.67
390,23.43,2.84,3.47,23.66
391,23.43,2.84,3.47,23.66
392,23.43,2.84,3.47,23.66
393,23.43,2.84,3.47,23.66
394,23.43,2.84,3.47,23.66
395,23.43,2.84,3.47,23.66
396,23.44,2.85,3.47,23.65
397,23.44,2.85,3.47,23.65
